name,posY,posX
신대방,37.487462,126.913149
구로디지털단지,37.485266,126.901401
문래,37.517933,126.89476
신촌,37.555134,126.936893
이대,37.556733,126.946013
아현,37.557345,126.956141
용답,37.561904,127.050899
신답,37.57004,127.046481
도림천,37.514287,126.882768
양천구청,37.512398,126.865819
신정네거리,37.520074,126.852912
용두,37.574028,127.038091
지축,37.648048,126.913951
구파발,37.636763,126.918821
녹번,37.600927,126.935756
무악재,37.582299,126.950291
독립문,37.574571,126.957748
경복궁,37.575762,126.97353
안국,37.576477,126.985443
동대입구,37.559052,127.005602
금호,37.548034,127.015872
압구정,37.527072,127.028461
신사,37.516334,127.020114
잠원,37.512759,127.01122
남부터미널,37.485013,127.016189
매봉,37.486947,127.046769
대치,37.494612,127.063642
학여울,37.496663,127.070594
대청,37.493514,127.079532
일원,37.483681,127.08439
당고개,37.670272,127.079066
상계,37.660878,127.073572
쌍문,37.648627,127.034709
수유,37.638052,127.025732
미아,37.62667,127.025983
미아사거리,37.613292,127.030053
길음,37.603407,127.025053
한성대입구,37.588458,127.006221
혜화,37.582336,127.001844
명동,37.560989,126.986325
회현,37.558514,126.978246
숙대입구,37.54456,126.972106
신용산,37.52917,126.967894
남태령,37.463873,126.989134
남영,37.541021,126.9713
노량진,37.514219,126.942454
대방,37.513342,126.926382
영등포,37.515504,126.907628
서빙고,37.519594,126.988537
한남,37.52943,127.009169
응봉,37.549946,127.034538
외대앞,37.596073,127.063549
신이문,37.601854,127.067325
월계,37.633212,127.058831
녹천,37.644799,127.051269
개포동,37.489116,127.06614
대모산입구,37.491373,127.07272
양원,37.606596,127.107906
구리,37.603392,127.143869
도농,37.608806,127.161153
양정,37.60533,127.19364
덕소,37.586781,127.208832
도심,37.579622,127.222672
팔당,37.547371,127.243939
운길산,37.554669,127.310115
양수,37.545981,127.329098
신원,37.525545,127.372921
국수,37.516169,127.399367
아신,37.51382,127.443173
오빈,37.506062,127.473868
양평(경의중앙선),37.492832,127.491814
원덕,37.468672,127.547076
용문,37.48223,127.594647
서울(경의중앙선),37.556328,126.969522
신촌(경의중앙선),37.559783,126.942319
서강대,37.551881,126.935711
가좌,37.568491,126.915487
수색,37.580842,126.895611
화전,37.602888,126.868387
행신,37.612102,126.834146
능곡,37.618808,126.820783
곡산,37.645676,126.801762
백마,37.658239,126.794461
풍산,37.672346,126.786243
일산,37.682077,126.769846
탄현,37.694023,126.761086
야당,37.712327,126.761356
운정,37.725826,126.767257
금릉,37.751322,126.765347
금촌,37.766217,126.774644
월롱,37.796188,126.792587
파주,37.815298,126.792783
문산,37.854619,126.788047
신내,37.612887,127.103218
갈매,37.634118,127.114757
별내,37.64202,127.12684
퇴계원,37.648311,127.143952
사릉,37.65108,127.176933
금곡,37.637382,127.207853
평내호평,37.653225,127.244493
천마산,37.658978,127.285379
마석,37.652782,127.311767
대성리,37.684071,127.379319
청평,37.735488,127.42661
상천,37.770246,127.454821
가평,37.814536,127.510739
굴봉산,37.832067,127.557695
백양리,37.830779,127.58933
강촌,37.805723,127.634146
춘천,37.885054,127.717023
봉명,36.801215,127.135763
쌍용(나사렛대),36.793759,127.1214
아산,36.792053,127.104361
배방,36.777629,127.052991
온양온천,36.780483,127.003249
신창,36.769502,126.951108
선바위,37.451673,127.002303
경마공원,37.443885,127.007888
대공원,37.435675,127.006523
과천,37.433021,126.996568
정부과천청사,37.426513,126.98978
인덕원,37.401553,126.976715
평촌,37.394287,126.963883
범계,37.389793,126.950806
삼동,37.409522,127.20336
경기광주,37.399907,126.630347
초월,37.374419,127.299
곤지암,37.351315,127.34674
신둔도예촌,37.317185,127.40476
이천,37.265579,127.44226
부발,37.260192,127.490277
세종대왕릉,37.295309,127.570938
여주,37.282701,127.628607
구로,37.503039,126.881966
금천구청,37.455626,126.89398
석수,37.435047,126.902295
관악,37.419232,126.908706
안양,37.401592,126.922874
명학,37.384653,126.935433
군포,37.35356,126.948462
의왕,37.320852,126.948217
화서,37.283862,126.989627
독산,37.466613,126.889249
세류,37.245025,127.013222
병점,37.207503,127.032731
세마,37.187533,127.04318
오산대,37.168953,127.063197
오산,37.145885,127.06672
진위,37.109447,127.062278
송탄,37.075696,127.054301
서정리,37.056496,127.052819
지제,37.0188,127.070444
평택,36.990726,127.085159
성환,36.916076,127.126964
직산,36.870593,127.143904
두정,36.833705,127.14896
천안,36.810005,127.146826
당정,37.344285,126.948345
서동탄,37.195504,127.051672
광명,37.416182,126.884466
산본,37.358101,126.933274
대야미,37.328467,126.917332
반월,37.312212,126.903524
상록수,37.302795,126.866489
한대앞,37.309689,126.85344
중앙,37.315941,126.838573
고잔,37.316777,126.823249
초지,37.320646,126.805913
안산,37.327082,126.788532
신길온천,37.338212,126.765844
정왕,37.351735,126.742989
수리산,37.349801,126.925365
개봉,37.494594,126.85868
오류동,37.494526,126.845365
역곡,37.485178,126.811502
부천,37.48405,126.782686
송내,37.4876,126.753664
백운,37.483664,126.707704
동암,37.471408,126.702896
제물포,37.466769,126.656666
동인천,37.475276,126.632802
부개,37.488418,126.74109
간석,37.464737,126.694181
도원,37.468446,126.642706
중동,37.486562,126.764843
도화,37.46607,126.668672
서울숲,37.543617,127.044707
압구정로데오,37.527381,127.040534
소사,37.482753,126.79544
가천대,37.448605,127.126697
태평,37.440019,127.127709
서현,37.385126,127.123592
수내,37.378455,127.114322
미금,37.350077,127.10891
오리,37.339824,127.108942
보정,37.312752,127.108196
죽전,37.324753,127.107395
신갈,37.286102,127.111313
상갈,37.26181,127.108847
청명,37.259489,127.078934
영통,37.251568,127.071394
망포,37.245795,127.057353
매탄권선,37.252759,127.040566
수원시청,37.261911,127.030736
매교,37.265481,127.015678
월곶,37.391769,126.742699
소래포구,37.40095,126.733522
인천논현,37.400614,126.722478
호구포,37.401637,126.708627
남동인더스파크,37.407722,126.695216
연수,37.417804,126.67894
송도,37.428514,126.657772
신포,37.46874,126.623853
방학,37.667503,127.044273
도봉,37.679563,127.045595
망월사,37.709914,127.047455
의정부,37.738415,127.045958
가능,37.748577,127.044213
녹양,37.75938,127.042292
양주,37.774381,127.044708
덕계,37.818486,127.056486
덕정,37.843188,127.061277
지행,37.892334,127.055716
동두천중앙,37.901885,127.056482
보산,37.913702,127.057277
동두천,37.927878,127.05479
소요산,37.9481,127.061034
원당,37.653324,126.843041
백석,37.643114,126.78787
마두,37.652206,126.77762
정발산,37.659477,126.773359
주엽,37.670072,126.761334
대화,37.676087,126.747569
방화,37.577446,126.812741
개화산,37.572399,126.806171
송정,37.561184,126.811973
마곡,37.560183,126.825448
발산,37.558598,126.837668
우장산,37.548768,126.836318
화곡,37.541513,126.840461
신정,37.524997,126.856191
목동,37.526065,126.864931
오목교,37.524496,126.875181
양평,37.525648,126.885778
여의나루,37.527098,126.932901
마포,37.539574,126.945932
애오개,37.553736,126.95682
서대문,37.565773,126.966641
광화문,37.571026,126.976669
신금호,37.554548,127.020331
행당,37.557322,127.029476
마장,37.5661,127.042973
답십리,37.566747,127.052704
장한평,37.56144,127.064623
아차산,37.551691,127.089761
광나루,37.545303,127.10357
강동,37.535804,127.132481
길동,37.537801,127.140004
굽은다리,37.545477,127.142853
명일,37.55137,127.143999
고덕,37.555004,127.154151
둔촌동,37.527788,127.136248
올림픽공원,37.516078,127.130848
방이,37.508857,127.126133
개롱,37.498079,127.13482
거여,37.493105,127.14415
마천,37.49499,127.152781
응암,37.598605,126.915577
역촌,37.606021,126.922744
독바위,37.618456,126.933031
구산,37.611377,126.91727
새절,37.591148,126.913629
증산,37.583876,126.909645
월드컵경기장,37.569532,126.899298
마포구청,37.563515,126.903343
망원,37.556094,126.910052
상수,37.547716,126.922852
광흥창,37.547456,126.931993
대흥,37.547771,126.942069
녹사평,37.534675,126.986695
이태원,37.534488,126.994302
한강진,37.539631,127.001725
버티고개,37.548013,127.007055
창신,37.579661,127.015241
안암,37.586272,127.029005
고려대,37.590508,127.036296
월곡,37.601948,127.041518
상월곡,37.606377,127.048491
돌곶이,37.610537,127.056431
화랑대,37.620064,127.084689
봉화산,37.617283,127.091401
장암,37.700109,127.053196
수락산,37.67785,127.055315
마들,37.66494,127.057675
중계,37.644583,127.064303
하계,37.636352,127.06799
먹골,37.610637,127.077725
중화,37.602545,127.079264
면목,37.588579,127.087503
사가정,37.580894,127.088478
용마산,37.573647,127.086727
중곡,37.565923,127.08432
어린이대공원,37.548014,127.074658
뚝섬유원지,37.53154,127.066704
청담,37.519365,127.05335
학동,37.514229,127.031656
논현,37.511093,127.021415
반포,37.508178,127.011727
내방,37.487618,126.993513
남성,37.484596,126.971251
숭실대입구,37.496029,126.953822
장승배기,37.504898,126.93915
신대방삼거리,37.499701,126.928276
보라매,37.499872,126.920428
신풍,37.50008,126.90993
남구로,37.486056,126.887249
철산,37.47605,126.867911
광명사거리,37.479252,126.854876
천왕,37.486637,126.838713
까치울,37.506207,126.810939
부천종합운동장,37.50538,126.797337
춘의,37.503663,126.787036
신중동,37.503048,126.77596
부천시청,37.504631,126.763538
상동,37.505781,126.753083
삼산체육관,37.506411,126.742153
굴포천,37.506997,126.73128
암사,37.55021,127.127562
강동구청,37.530341,127.120508
몽촌토성,37.517409,127.112359
석촌,37.505431,127.106979
송파,37.499703,127.112183
문정,37.485855,127.1225
장지,37.478703,127.126191
산성,37.457122,127.149908
남한산성입구,37.451535,127.159816
단대오거리,37.44521,127.156866
신흥,37.440918,127.147564
수진,37.437428,127.140722
귤현,37.566379,126.742654
임학,37.545059,126.738665
계산,37.543238,126.728128
경인교대입구,37.538157,126.722597
작전,37.530415,126.722527
갈산,37.517268,126.721514
부평시장,37.498383,126.722244
동수,37.485312,126.718247
부평삼거리,37.477679,126.710208
간석오거리,37.467048,126.707938
예술회관,37.449396,126.701012
인천터미널,37.442383,126.699706
문학경기장,37.434935,126.698579
선학,37.426684,126.698863
신연수,37.41804,126.693863
동춘,37.404737,126.681015
동막,37.397878,126.674005
캠퍼스타운,37.387855,126.661673
테크노파크,37.382268,126.656365
지식정보단지,37.378384,126.645168
인천대입구,37.386007,126.639484
검단오류,37.594877,126.627178
왕길,37.59518,126.642696
검단사거리,37.60185,126.657108
마전,37.597566,126.666998
독정,37.585212,126.675844
검바위,37.561405,126.677566
아시아드경기장,37.5517,126.677122
서구청,37.543742,126.676787
가정,37.524649,126.675539
가정중앙시장,37.517054,126.676672
석남,37.506193,126.676203
서부여성회관,37.506193,126.676203
인천가좌,37.4897,126.675208
가재울,37.484192,126.683673
주안국가산단,37.473703,126.68113
시민공원,37.458335,126.681192
석천사거리,37.456805,126.709986
모래내시장,37.45583,126.719298
만수,37.454911,126.732094
남동구청,37.448161,126.736939
인천대공원,37.448769,126.752618
운연,37.440127,126.75997
개화,37.578608,126.798153
공항시장,37.563726,126.810678
신방화,37.567532,126.816601
마곡나루,37.567336,126.829497
양천향교,37.568381,126.841333
가양,37.561391,126.854456
증미,37.557402,126.861939
등촌,37.550632,126.865689
염창,37.546936,126.874916
신목동,37.544277,126.88308
선유도,37.53802,126.893525
국회의사당,37.528105,126.917874
샛강,37.517274,126.928422
노들,37.512887,126.953222
흑석,37.50877,126.963708
구반포,37.501364,126.987332
신반포,37.503415,126.995925
사평,37.504206,127.015259
신논현,37.504598,127.02506
언주,37.507287,127.033868
삼성중앙,37.513011,127.053282
봉은사,37.514219,127.060245
청라국제도시,37.555878,126.625327
운서,37.492904,126.49379
공항화물청사,37.458366,126.476241
인천공항1터미널,37.447464,126.452508
인천공항2터미널,37.46882,126.4334965
영종,37.511466,126.5237
양재시민의숲,37.470023,127.03842
김량장,37.237247,127.198781
운동장·송담대,37.237845,127.209198
고진,37.24484,127.214251
보평,37.258965,127.218457
둔전,37.267051,127.21364
전대·에버랜드,37.285342,127.219561
발곡,37.727048,127.052803
범골,37.728755,127.04353
경전철의정부,37.737202,127.043257
의정부시청,37.739256,127.034781
흥선,37.743302,127.037023
의정부중앙,37.743676,127.049565
동오,37.745271,127.056947
새말,37.748885,127.06362
경기도청북부청사,37.75059,127.071495
효자,37.754025,127.076902
곤제,37.750471,127.083715
어룡,37.742802,127.085035
송산,37.737279,127.087159
솔밭공원,37.656088,127.013252
삼양,37.627165,127.018152
삼양사거리,37.621512,127.02048
솔샘,37.62124,127.013528
북한산보국문,37.612343,127.008009
정릉,37.602798,127.01349
동천,37.337928,127.102976
수지구청,37.322702,127.095026
성복,37.313335,127.0801
상현,37.297664,127.069342
광교중앙,37.288617,127.051478
광교,37.30211,127.044483
강남대,37.270161,127.126033
지석,37.269606,127.136515
어정,37.274917,127.143714
동백,37.269043,127.152716
초당,37.260752,127.159443
삼가,37.242115,127.168075
시청·용인대,37.239151,127.178406
명지대,37.237964,127.190294
고색,37.249668,126.980289
오목천,37.243486,126.964121
어천,37.250092,126.908958
야목,37.26119,126.884077
사리,37.290913,126.857179
강일,37.557471,127.17571
강일,37.557471,127.17571
미사,37.563118,127.192932
하남풍산,37.552059,127.20388
하남시청,37.5416783,127.2067616
하남검단산,37.539827,127.2231
하남검단산,37.539827,127.2231
별내별가람,37.667776,127.116053
오남,37.705191,127.191013
진접,37.719823,127.203248
산곡,37.508649,126.703034
소새울,37.46848,126.797291
시흥대야,37.450194,126.792977
신천,37.439035,126.786751
신현,37.40968,126.787828
시흥능곡,37.370157,126.808734
달미,37.348898,126.809404
선부,37.334407,126.810003
시우,37.313153,126.795718
원시,37.302573,126.786787
풍무,37.612294,126.732693
사우,37.620314,126.719808
걸포북변,37.63165,126.705732
사우,37.653851,126.683843
운양,37.653851,126.683843
장기,37.64417,126.66911
마산,37.640814,126.644507
구래,37.645397,126.628708
양촌,37.641717,126.614758
남위례,37.462856,127.139064
임진강,37.888424,126.746947
도라산,37.8983519,126.7091096
